"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	11800000000	10794834802	0.000000	-112.385384	-0.040000	0.000000	262.999050	-0.054863	-0.050000	40.583132	-0.155896	110.900000	270.200000	16.000000
2021-05-21	21:47:00	1	11900000000	10894834802	0.000000	-112.385421	-0.050000	0.000000	266.071285	-0.109133	-0.080000	40.583132	-0.155896	110.300000	269.900000	16.000000
2021-05-21	21:47:00	1	12000000000	10994834802	0.000000	-112.385457	-0.040000	0.000000	269.128375	-0.027159	-0.100000	40.583132	-0.141723	109.800000	269.800000	16.000000
2021-05-21	21:47:00	1	12100000000	11094834802	0.000000	-112.385493	-0.040000	0.000000	272.171916	-0.054072	-0.110000	40.583132	-0.113379	109.300000	269.800000	16.000000
2021-05-21	21:47:00	1	12200000000	11194834802	0.000000	-112.385529	-0.050000	0.000000	275.203686	-0.080885	-0.130000	40.583132	-0.113379	109.000000	269.600000	16.000000
2021-05-21	21:47:00	1	12300000000	11294834802	0.000000	-112.385565	-0.030000	0.000000	278.224078	-0.134190	-0.140000	40.583131	-0.141723	108.500000	269.500000	16.000000
2021-05-21	21:47:00	1	12400000000	11394834802	0.000000	-112.385600	0.000000	0.000000	281.230971	-0.213714	-0.140000	40.583131	-0.141723	108.000000	269.100000	16.000000
2021-05-21	21:47:00	1	12500000000	11494834802	0.000000	-112.385636	0.040000	0.000000	284.223707	-0.265906	-0.140000	40.583131	-0.155896	107.500000	268.700000	16.000000
2021-05-21	21:47:00	1	12600000000	11594834802	0.000000	-112.385671	0.090000	0.000000	287.202030	-0.396632	-0.150000	40.583130	-0.127551	106.900000	268.100000	16.000000
2021-05-21	21:47:00	1	12700000000	11694834802	0.000000	-112.385706	0.140000	0.000000	290.167327	-0.527359	-0.160000	40.583129	-0.113379	106.600000	267.200000	16.000000
2021-05-21	21:47:00	1	12800000000	11794834802	0.000000	-112.385741	0.220000	0.000000	293.121050	-0.577374	-0.190000	40.583127	-0.141723	106.100000	266.100000	16.000000
2021-05-21	21:47:00	1	12900000000	11894834802	0.000000	-112.385775	0.280000	0.000000	296.061274	-0.574653	-0.220000	40.583125	-0.141723	105.600000	265.000000	16.000000
2021-05-21	21:47:00	1	13000000000	11994834802	0.000000	-112.385810	0.320000	0.000000	298.987609	-0.597929	-0.230000	40.583122	-0.141723	105.100000	263.900000	16.000000
2021-05-21	21:47:00	1	13100000000	12094834802	0.000000	-112.385844	0.350000	0.000000	301.900859	-0.646831	-0.250000	40.583119	-0.099206	104.600000	262.700000	16.000000
2021-05-21	21:47:00	1	13200000000	12194834802	0.000000	-112.385878	0.400000	0.000000	304.803397	-0.723065	-0.270000	40.583115	-0.099206	104.400000	261.400000	16.000000
2021-05-21	21:47:00	1	13300000000	12294834802	0.000000	-112.385912	0.450000	0.000000	307.696615	-0.796703	-0.300000	40.583111	-0.099206	103.900000	259.900000	16.000000
2021-05-21	21:47:00	1	13400000000	12394834802	0.000000	-112.385946	0.530000	0.000000	310.582120	-0.795169	-0.300000	40.583106	0.028345	103.700000	258.300000	16.000000
2021-05-21	21:47:00	1	13500000000	12494834802	0.000000	-112.385979	0.590000	0.000000	313.469179	-0.772487	-0.270000	40.583100	0.099206	104.100000	256.800000	15.000000
2021-05-21	21:47:00	1	13600000000	12594834802	0.000000	-112.386012	0.630000	0.000000	316.365655	-0.774713	-0.210000	40.583093	0.127551	104.400000	255.300000	15.000000
2021-05-21	21:47:00	1	13700000000	12694834802	0.000000	-112.386045	0.650000	0.000000	319.273034	-0.753193	-0.200000	40.583086	0.085034	105.000000	253.800000	15.000000
2021-05-21	21:47:00	1	13800000000	12794834802	0.000000	-112.386078	0.670000	0.000000	322.189066	-0.701249	-0.180000	40.583079	0.028345	105.000000	252.400000	15.000000
2021-05-21	21:47:00	1	13900000000	12894834802	0.000000	-112.386111	0.670000	0.000000	325.107852	-0.754628	-0.170000	40.583070	0.000000	105.200000	251.100000	15.000000
2021-05-21	21:47:00	1	14000000000	12994834802	0.000000	-112.386144	0.670000	0.000000	328.027565	-0.831110	-0.170000	40.583061	0.000000	105.000000	249.500000	15.000000
2021-05-21	21:47:00	1	14100000000	13094834802	0.000000	-112.386175	0.710000	0.000000	330.946205	-0.832693	-0.190000	40.583051	-0.028345	105.200000	247.900000	15.000000
2021-05-21	21:47:00	1	14200000000	13194834802	0.000000	-112.386207	0.730000	0.000000	333.862727	-0.803604	-0.230000	40.583041	-0.056689	104.800000	246.300000	15.000000
2021-05-21	21:47:00	1	14300000000	13294834802	0.000000	-112.386238	0.740000	0.000000	336.773009	-0.855449	-0.250000	40.583030	-0.085034	104.800000	244.800000	16.000000
2021-05-21	21:47:00	1	14400000000	13394834802	0.000000	-112.386269	0.780000	0.000000	339.674814	-0.953649	-0.260000	40.583019	-0.155896	104.200000	243.000000	16.000000
2021-05-21	21:47:00	1	14500000000	13494834802	0.000000	-112.386298	0.820000	0.000000	342.563789	-0.974723	-0.280000	40.583006	-0.070862	103.700000	241.100000	16.000000
2021-05-21	21:47:00	1	14600000000	13594834802	0.000000	-112.386328	0.850000	0.000000	345.444784	-0.974723	-0.290000	40.582993	-0.028345	103.700000	239.200000	16.000000
